totalResults,brandId,brandName,categoryId,categoryName,helpful,productId,productName,rating,review,reviewDate,reviewId,thumbnail,userName,votes,skinType,skinTone,skinUndertone,hairColor,hairType,hairTexture,eyeColor,ageRange,reviews
359,308,Neutrogena,22,Sunscreen,1,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,3,"This has a nice feel to it. Spreads on nicely, dries pretty quickly, and has a nice light scent. I’ve worn it daily for weeks now - I work outside in the California sun - and I haven’t burnt yet. On hot days it can sweat off which will then leave white streaks on anything your skin touches, but I think most sunscreens do that, so I can’t really fault it there. 

I made the mistake of using it on my face (I had run out of my regular facial sunscreen) and I discovered that this product contains silicones - my face absolutely blew up with closed comedones after I think 2 days of use. So that was fun.  

Overall I like this sunscreen for use on my arms, but will pass for my face and neck as my skin clearly is too much of a delicate flower to handle it. ",2019-06-15T23:20:08.000Z,3055638,thumb/h/145/7_4_1_7_2631187.JPG,silvurgrin,1,Sensitive,Fair-Medium,Unknown,Brunette,Unknown,Unknown,Green,36-43,2
359,308,Neutrogena,22,Sunscreen,0,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,5,"My husband and I use this and love it. It is heavy being that it is spa 100 but we never get burned. It isn&#039;t too greasy but by the end o the day you definitely want to shower.

It feels good knowing we have a great spf protection and its affordable. We always stock up on this one before vacation. Its the only sunscreen my hubby will actually use. 

Just make sure you rub it in well so you don&#039;t have white spots all over. Its that thick. ",2019-03-03T07:18:00.000Z,3045843,thumb/h/145/7_4_1_7_2631187.JPG,ChristopherCupcakes,0,Combination,Medium,Neutral,Other,Straight,Medium,Green,44-55,255
359,308,Neutrogena,22,Sunscreen,1,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,2,"SCENT: very strong, lingers on for quite a while
TEXTURE: not too thick, spreadable
FINISH: greasy, leaves white clumps/residue on skin
PERFORMANCE: Yes it protects your skin from the sun, but it&#039;s nowhere near as lightweight as it claims. 

CONCLUSION: great value for the price, but will I repurchase it? Never again, it&#039;s got low ratings for a reason!",2018-09-08T00:29:00.000Z,3029227,thumb/h/145/7_4_1_7_2631187.JPG,NoahN,1,Combination,Fair,Warm,Other,Wavy,Medium,Brown,25-29,52
359,308,Neutrogena,22,Sunscreen,1,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,1,"Hate this sunscreen...

Only pros I have for this product is the high SPF and scent. The scent is light and fresh. Otherwise, I hate this sunscreen as I have already prefaced. I generally use body sunscreen when I&#039;m going hiking and this makes me want to wash it off the second I put it on. It is opposite of what it claims. It&#039;s not ultra sheer because it gives a white cast when and after applying it. It is not dry touch because it feels sticky and tacky after its been applied. Not lightweight or clean feeling because it just sits on top of your skin. Not fast absorbing because it just feels like a mess.

Not sure how this is #1 dermatologist recommended... ",2018-08-17T18:10:00.000Z,3026689,thumb/h/145/7_4_1_7_2631187.JPG,mbcccix,1,Combination,Fair-Medium,Warm,Brown,Straight,Medium,Brown,25-29,349
359,308,Neutrogena,22,Sunscreen,0,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,2,"I kinda really hate this stuff. My derm recommended it and I&#039;ve been using it for over 6 month now but suddenly I just can&#039;t. It&#039;s super greasy looking and it BURNS my face most days. I&#039;ve been having a lot of redness which I just now decided to tackle after like 2 years and this needs to go. I don&#039;t know how responsible it is for my redness but burning your face can&#039;t possibly be helping. Also, contains parabens. The only thing I can say is that it never broke me out",2017-09-04T06:54:00.000Z,2982168,thumb/h/145/7_4_1_7_2631187.JPG,petalcollie,1,Combination,Fair-Medium,Warm,Brown,Straight,Fine,Other,19-24,20
359,308,Neutrogena,22,Sunscreen,0,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,2,"Super cheap, (13 dollars for a pack of 2 at Target) but it does not sit well under makeup, and it makes my face very oily throughout the day. I&#039;m blotting constantly. I&#039;m trying out new sunscreens after they raised the price on Elta MD, and this is not filling its shoes. ",2017-08-17T16:14:00.000Z,2979695,thumb/h/145/7_4_1_7_2631187.JPG,Karobchips,0,Combination,Medium Brown,Unknown,Black,Unknown,Unknown,Other,19-24,15
359,308,Neutrogena,22,Sunscreen,0,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,4,"I have sensitive acne prone and oily skin. I don&#039;t love this product but I don&#039;t hate it either. When I wear it alone I absolutely love how it feels on my skin when it dries. It makes me feel less greasy than typical sunscreens. However when I use this it doesn&#039;t last very long. I find that I should keep reapplying otherwise my face will not feel soft and dry and protected anymore. I do love it so I use it sparingly now, definitely not everyday, mainly only when I remember it exists. Surprisingly enough I feel like my skin does much better without any sunscreen at all (I have Filipino skin so a little sun tan doesn&#039;t matter to me, it doesn&#039;t make a difference). ",2017-08-13T13:18:00.000Z,2978994,thumb/h/145/7_4_1_7_2631187.JPG,kariebeaahn,0,Other,Other,Unknown,Other,Unknown,Unknown,Other,19-24,2
359,308,Neutrogena,22,Sunscreen,4,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,2,"I kept buying this for a few years when I first realized I needed sun protection, not sun tan lotion. I am NC 30-35, combination skin, tending towards dry, prone to milia and hives. This stung the skin; caused break outs (I generally don&#039;t break out too much), bumpiness, and shine. It was NOT matte. It was not cosmetically elegant. And, if you have the misfortune to sweat, it burns the eyes. One summer, i tried to pass it off to my very pale husband who has great skin and who is bald; he avoided it and started to wear a lot of hats. (We are not beach people and he does wear long sleeves,  so he can get away with this somewhat). 

I transitioned into Ombrelle (white cast, thick texture), Paula&#039;s choice spf 30 (too expensive and somewhat unimpressive);  then Roche posay (tinted for face) and the other one in the big tube for body (the latter of which has to be rubbed in well) ; then the orange  tube of Kiss My face with hydrophasia (no idea what that is, but recently the tubes have gotten much smaller and the price has gone up a bit); and Biore aqua  (inconvenient because you have to order it on Amazon and shipping takes a while). All of these have been better than the Neutragena. will try out a few suggestions below. ",2017-05-19T19:46:00.000Z,2964923,thumb/h/145/7_4_1_7_2631187.JPG,Aimbl,4,Combination,Olive,Warm,Brunette,Straight,Medium,Brown,44-55,514
359,308,Neutrogena,22,Sunscreen,3,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,1,"SENSITIVE SKIN PLZ DO NOT TRY!

I don&#039;t have a sensitive skin but this crap burn me out so bad lol. I could totally feel the burning the second i put it on my face and i don&#039;t know what the heck was happening. Tried it several times and yep still burn! 

2nd problem, it is WHITE. W-H-I-T to the E. This is a very chemical sunscreen rather than physical so leaving white cast is not a wanted effect.

3rd problem: very chemical smell, and the smell barely goes away.

4th problem: Are the scientists behind this blind or am i blind, why they put &quot;lightweight&quot; and &quot;dry-touch&quot; on the packaging when it feels super thick and wet and sticky and shiny on skin??  I can feel it clog my pore as whenever i sweat i can see sweat rolling on my face like rolling on a nylon film LOL , and yes I sweat all the time after putting this on, like literally this blocks out not only sun but also AIR. It doesn&#039;t let my skin breathe :p

I know everyone has personal opinion and I feel bad for this negative review, but honestly, I won&#039;t recommend it to anyone. I have ace-prone skin and i don&#039;t want to give it more burden by wearing this sunscreen all day long.
There are way more better products out there that give you a good protection layer, shine the least without irritating your skin. Try Bioderma Photoderm MAX Aquafluide SPF 50+, Avene Mineral Ultra-Light Hydrating Sunscreen Lotion 50+, Elta MD UV Clear SPF 46  (fewwhh long names!), those r good options for combi-oily + sensitive skin, maybe not the most budget-friendly sunscreens but all r very lightweight, absorb quickly and give you comfortable feeling with necessary ingredients for an optimal protection. I will pay extra money if what i get is a satisfying product.


Please redo a serious research on your product, Neutrogena!",2017-05-19T11:01:00.000Z,2964847,thumb/h/145/7_4_1_7_2631187.JPG,nnma239,4,Combination,Medium,Unknown,Black,Unknown,Unknown,Black,19-24,8
359,308,Neutrogena,22,Sunscreen,4,73469,Ultra Sheer Dry-Touch Sunblock SPF 55,1,"why does it call dry touch?
i used it and become sweating and shining all over my face...
i wouldn&#039;t recommend it for oily or combination skin.",2016-11-15T05:57:00.000Z,2929012,thumb/h/145/7_4_1_7_2631187.JPG,adiov,5,Other,Other,Unknown,Other,Unknown,Unknown,Other,30-35,1
